"docname"	"pre"	"keyword"	"post"	"pattern"	"id"	"hit"
"50"	"and her pencil case filled"	"and so on"	""	"and so on"	18	1
"50297"	"odd fellow a market gardener"	"or whatever"	"sends an odd lorry and"	"or whatever"	802	1
"50350"	"come and learn circus stuff"	"and all"	"like unicycle stilts juggling all"	"and all"	327	1
"50512"	"be real peace until violence"	"and all"	"violence is stopped because uhm"	"and all"	328	1
"50576"	"another spot check"	"and everything"	"is in order"	"and everything"	422	1
"50656"	"wins it by eight lengths"	"or so"	"and second is sullane river"	"or so"	540	1
"50742"	"and the the skill base"	"and so on"	"it s it ranks very"	"and so on"	86	1
"50989"	"talking to lads at work"	"etcetera"	"today and on the phone"	"etcetera"	461	1
"5123"	"did you tell aaron speight"	"or something"	"or stephan"	"or something"	845	1
"5149"	"funny after you meeting her"	"and everything"	"in the gym and her"	"and everything"	351	1
"51728"	"they had to trick soldiers"	"and everything"	"else to get into egypt"	"and everything"	423	1
"51729"	"out of food for herself"	"and everything"	"and eventually they come to"	"and everything"	424	1
"51800"	"gas bottles and trailers and"	"and all"	"the rest of it and"	"and all"	329	1
"51840"	"as oh good great fun"	"and all"	"the rest of it and"	"and all"	330	1
"51858"	"dumpty and rip van winkle"	"and all"	"the king s horses and"	"and all"	331	1
"51866"	"you examine it its depth"	"and all"	"its colours and its contours"	"and all"	333	1
"51884"	"and saw this autumnal landscape"	"and all"	"the colour and i thought"	"and all"	334	1
"51909"	""	"and all that"	"cultural baggage even though i"	"and all that"	707	1
"51939"	"i counted in my head"	"and all"	"those days that i was"	"and all"	336	1
"5202"	"got a plan and career"	"and all this"	"kind of stuff"	"and all this"	659	1
"5210"	"yeah work s going well"	"or whatever"	""	"or whatever"	716	1
"5246"	"about what they ve done"	"and all"	"the rest of it you"	"and all"	161	1
"52607"	"money of the middle class"	"and all"	"the aspirations that go with"	"and all"	337	1
"52630"	"bodies like chambers of commerce"	"and so on"	"that they can use or"	"and so on"	87	1
"52635"	"from different backgrounds and professions"	"and so on"	""	"and so on"	88	1
"52646"	"larger and hostile religious world"	"or so"	"it s always felt"	"or so"	541	1
"52702"	"was about five or six"	"or so"	"and this was called in"	"or so"	542	1
"5286"	"standing with the mobile phone"	"and all"	"out"	"and all"	162	1
"52872"	"questionnaire correspondents and so on"	"and so forth"	""	"and so forth"	651	1
"52873"	"the fuels and so on"	"and so forth"	"all of that"	"and so forth"	652	1
"52970"	"of deportment of correct speech"	"and so on"	""	"and so on"	91	1
"52971"	"church the government of england"	"and so forth"	""	"and so forth"	653	1
"53053"	"very special night for myself"	"and all"	"the members of anuna"	"and all"	338	1
"53193"	"attainment of the beatific vision"	"or whatever"	""	"or whatever"	803	1
"53217"	"as geography history mathematics literature"	"etcetera"	""	"etcetera"	462	1
"534"	"think it came from mouths"	"or something"	"or hands"	"or something"	807	1
"53491"	"complex the drunkard first confession"	"and so on"	""	"and so on"	92	1
"53522"	"remarkable about these great stories"	"or so"	"it seems to me is"	"or so"	543	1
"53565"	"him with my fists quote"	"and so on"	""	"and so on"	93	1
"53923"	"be that engineering or medicine"	"or whatever"	"they will become more expert"	"or whatever"	804	1
"53926"	"from lecturer to senior lecturer"	"and so on"	"must indicate that a greater"	"and so on"	94	1
"53940"	"grade three some thirty percent"	"or so"	"are graded two or lower"	"or so"	544	1
"5409"	"there for like six months"	"or something"	"as part of the community"	"or something"	846	1
"5425"	"the way it was reported"	"and stuff"	""	"and stuff"	556	1
"5443"	"you know"	"and stuff"	""	"and stuff"	557	1
"546"	"thought somebody had been there"	"or something"	""	"or something"	808	1
"5462"	"they ve diggers"	"and everything"	"in it you know to"	"and everything"	352	1
"5469"	"tried to burn the house"	"or something"	""	"or something"	847	1
"5471"	"rebuilt it or gutted it"	"or something"	""	"or something"	848	1
"5517"	""	"and all"	"the girls"	"and all"	163	1
"5521"	""	"and all"	"the girls were sitting there"	"and all"	164	1
"569"	"went and got altitude sickness"	"or something like that"	""	"or something like that"	463	1
"5693"	"bath"	"and all"	"s washed out but wash"	"and all"	165	1
"6013"	"you can get of insignia"	"and all that"	"there"	"and all that"	677	1
"6018"	"aftershave and deodorant"	"and stuff"	""	"and stuff"	558	1
"636"	"so i ve had like"	"and everything"	"was fine but now getting"	"and everything"	341	1
"6459"	"the staff roger and millie"	"etcetera"	""	"etcetera"	426	1
"659"	"d think it was hot"	"or something"	""	"or something"	810	1
"6767"	"night uh all the discos"	"and all"	"ll be open then cos"	"and all"	167	1
"6809"	"s like a cherry colour"	"or something"	""	"or something"	849	1
"6837"	"you tape it for me"	"or something"	"if i dont get to"	"or something"	850	1
"6853"	"it s sad"	"and all"	""	"and all"	168	1
"6865"	"is that a male opinion"	"or something"	""	"or something"	851	1
"6978"	"bigger chests and bigger bums"	"and everything"	""	"and everything"	353	1
"7118"	"i ve got the manual"	"and everything"	"and there s a wild"	"and everything"	354	1
"7125"	"in that bert remembers them"	"and all"	"you know"	"and all"	169	1
"7211"	"s 4 4 popularity 4"	"or whatever"	"you want to call it"	"or whatever"	717	1
"7490"	"was on tomorrow s world"	"and all"	""	"and all"	170	1
"7497"	"you can see is triangles"	"or something"	""	"or something"	852	1
"7532"	"like looking over his shoulder"	"and stuff"	""	"and stuff"	559	1
"754"	"rang like she rang jordanstown"	"and everything"	"and they were able to"	"and everything"	342	1
"7541"	"supposed to be really vibrant"	"and stuff"	"i"	"and stuff"	560	1
"7579"	"have a first draft in"	"or something"	""	"or something"	853	1
"7749"	"people have criticised my voice"	"and everything"	""	"and everything"	355	1
"7754"	"use used to annoy me"	"and everything"	""	"and everything"	356	1
"7798"	"a drawer or a safe"	"or something"	""	"or something"	854	1
"7799"	"a drawer or a safe"	"or something"	""	"or something"	855	1
"7820"	"with the effects of rationing"	"and stuff like that"	""	"and stuff like that"	496	1
"7821"	"with the effects of rationing"	"and stuff like that"	""	"and stuff like that"	497	1
"7869"	"a buy a twopiece suit"	"or something like that"	""	"or something like that"	468	1
"7870"	"a buy a twopiece suit"	"or something like that"	""	"or something like that"	469	1
"808"	"directories"	"and stuff"	""	"and stuff"	545	1
"8093"	"newtown up to the border"	"and all"	"round there back down into"	"and all"	171	1
"8094"	"newtown up to the border"	"and all"	"round there back down into"	"and all"	172	1
"81"	"somewhere in her pencil case"	"or something"	""	"or something"	805	1
"8261"	"customers your 2 2 turnover"	"etcetera"	"etcetera 2"	"etcetera"	427	1
"8389"	"a crisis with his faith"	"and everything"	"but nobody nobody knows why"	"and everything"	357	1
"8528"	"it underneath that chair there"	"or something"	""	"or something"	858	1
"8857"	"the man and his style"	"and things like that"	"there"	"and things like that"	1	1
"8859"	"that his flowers twentythree million"	"or something"	""	"or something"	859	1
"9046"	"christmas present all wrapped up"	"and all"	""	"and all"	173	1
"9404"	"was a real dubliner 1"	"and all"	"the rest of it 2"	"and all"	174	1
"9419"	"grafton street and duke street"	"or something"	""	"or something"	860	1
"9421"	"were saying messages of goodwill"	"and all"	"but he he came on"	"and all"	175	1
"9439"	"uh tv programme and appeal"	"and all"	"4 4 looking 4 for"	"and all"	176	1
"9446"	"that she was uh pregnant"	"and all"	""	"and all"	177	1
"9447"	"she had the padding out"	"and all"	""	"and all"	178	1
"958"	"and value"	"and all"	"the rest of it"	"and all"	98	1
"9752"	"it called uhm knockburn park"	"or something like that"	"and it s my favourite"	"or something like that"	470	1
"9877"	"about one of the characters"	"or something"	""	"or something"	862	1
"9878"	"it was like a tail"	"or something"	"and it sort of went"	"or something"	863	1
"9889"	"this red uhm like iguana"	"or something"	"uh or you know lizard"	"or something"	864	1
"9902"	"they have ornaments"	"and stuff"	""	"and stuff"	563	1
"9904"	"fortyfive or fifty"	"or something"	"so"	"or something"	866	1
"9910"	"know like the bathroom window"	"or something"	""	"or something"	867	1
"9981"	"make it for eleven 1"	"or so"	"and then i could pick"	"or so"	508	1
